X,Y,fid,cartodb_id,objectid_1,shape_leng,shape_area,area_name,comm_orgs,epic_link,des_year,nys_link,contacts,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,x,y
996887.77578236,208559.554246344,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,0,0,0,0,0.00000000000000,94.81415117395576,996887.776,208559.554
996918.921132024,208556.873849394,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,1,0,0,1,31.26047558076564,92.45935881612982,996918.921,208556.874
996932.92703945,208556.87387119,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,2,0,0,2,45.26638300632310,90.36405915675886,996932.927,208556.874
996943.766936155,208556.736092823,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,3,0,0,3,56.10715527867352,90.39138622580521,996943.767,208556.736
996954.085179051,208556.726266361,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,4,0,0,4,66.42540285373170,96.61925635899270,996954.085,208556.726
996963.622913505,208554.492029894,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,5,0,0,5,76.22133012526582,103.49467477336538,996963.623,208554.492
996989.698714526,208548.084592073,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,6,0,0,6,103.07282278986543,102.39491683424122,996989.699,208548.085
997005.046490309,208545.105614233,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,7,0,0,7,118.70703304978160,100.65807785966692,997005.046,208545.106
997048.527807874,208537.178847014,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,8,0,0,8,162.90498114408575,98.90690040599065,997048.528,208537.179
997070.056030453,208534.351453557,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,9,0,0,9,184.61807675847760,96.68077693201003,997070.056,208534.351
997113.550137863,208529.872519976,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,10,0,0,10,228.34219167722111,96.34658958085124,997113.550,208529.873
997131.916613608,208527.677995422,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,11,0,0,11,246.83930954247083,97.56214611014848,997131.917,208527.678
997172.704030055,208521.720055485,5,5,5,64192.2783649,43575028.3143,North Brooklyn,"Evergreen, WXY, HR&A, Pratt Community Center, Langan, and St. Nicks Alliance",https://a002-epic.nyc.gov/community/areas/3,2019,http://docs.dos.ny.gov/opd/boa/NorthBrooklynBOA.pdf,,12,0,0,12,288.05957626494569,99.08491577987949,997172.704,208521.720
