X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
1000107.54840848,208479.120201829,"0",,AcDbEntity:AcDbPoint,,200DB,
1000568.82054885,209086.659362737,"0",,AcDbEntity:AcDbPoint,,"200E0",
1000261.215974,208681.644350619,"0",,AcDbEntity:AcDbPoint,,"200E1",
1000878.4294992,206556.801291956,"0",,AcDbEntity:AcDbPoint,,"200E2",
1000493.62130337,206758.926606173,"0",,AcDbEntity:AcDbPoint,,"200E3",
997336.242716612,208679.886756101,"0",,AcDbEntity:AcDbPoint,,"200E4",
996720.158746756,208780.773017072,"0",,AcDbEntity:AcDbPoint,,"200E5",
995950.656073463,208679.177189922,"0",,AcDbEntity:AcDbPoint,,"200E6",
995257.171900997,210196.915761342,"0",,AcDbEntity:AcDbPoint,,"200E7",
995487.855166228,210500.620151407,"0",,AcDbEntity:AcDbPoint,,"200E8",
1000799.3101664,209997.646914824,"0",,AcDbEntity:AcDbPoint,,200EE,
1000645.78936018,209187.922888947,"0",,AcDbEntity:AcDbPoint,,200F9,
999414.876105409,208276.289926139,"0",,AcDbEntity:AcDbPoint,,200FB,
997490.042831435,208679.970394586,"0",,AcDbEntity:AcDbPoint,,200FC,
995026.250855803,209792.001922703,"0",,AcDbEntity:AcDbPoint,,"20102",
995026.250855803,209792.001922703,"0",,AcDbEntity:AcDbPoint,,"20106",
995028.370200307,205035.427845958,"0",,AcDbEntity:AcDbPoint,,"20140",
994875.124871245,203719.721675192,"0",,AcDbEntity:AcDbPoint,,"20141",
994798.158788454,203517.265325938,"0",,AcDbEntity:AcDbPoint,,"20143",
994106.001815307,201594.140966171,"0",,AcDbEntity:AcDbPoint,,"20144",
993413.236513294,200986.637426535,"0",,AcDbEntity:AcDbPoint,,"20145",
993336.439748555,200278.166329041,"0",,AcDbEntity:AcDbPoint,,"20146",
993028.933671359,198962.416595736,"0",,AcDbEntity:AcDbPoint,,"20148",
992798.754172126,196837.082713821,"0",,AcDbEntity:AcDbPoint,,"20149",
992798.861539394,196533.485958074,"0",,AcDbEntity:AcDbPoint,,2014A,
1003349.11685265,197450.337547638,"0",,AcDbEntity:AcDbPoint,,2014B,
1005349.89922401,199476.037751167,"0",,AcDbEntity:AcDbPoint,,2014F,
991565.079370266,201087.218354373,"0",,AcDbEntity:AcDbPoint,,"20150",
997336.35215785,208477.463776042,"0",,AcDbEntity:AcDbPoint,,"20151",
997259.312899459,208477.422247021,"0",,AcDbEntity:AcDbPoint,,"20152",
995027.378171996,207261.896625103,"0",,AcDbEntity:AcDbPoint,,"20153",
994719.745708772,206654.529197252,"0",,AcDbEntity:AcDbPoint,,"20154",
994719.877131463,206350.931366008,"0",,AcDbEntity:AcDbPoint,,"20155",
994797.011387228,206148.578450144,"0",,AcDbEntity:AcDbPoint,,"20156",
991180.420762634,199771.468363109,"0",,AcDbEntity:AcDbPoint,,"20157",
1004421.849716,204029.389926232,"0",,AcDbEntity:AcDbPoint,,"20158",
992639.716171503,210904.274305022,"0",,AcDbEntity:AcDbPoint,,"20161",
992562.684611259,210904.247685886,"0",,AcDbEntity:AcDbPoint,,"20162",
992562.684611259,210904.247685886,"0",,AcDbEntity:AcDbPoint,,"20163",
992485.99915107,210701.834642604,"0",,AcDbEntity:AcDbPoint,,"20164",
992332.002482558,210499.359442192,"0",,AcDbEntity:AcDbPoint,,"20165",
992101.411364441,209790.875186062,"0",,AcDbEntity:AcDbPoint,,"20166",
991026.706296153,199265.40523571,"0",,AcDbEntity:AcDbPoint,,"20167",
991947.631533673,208879.994588185,"0",,AcDbEntity:AcDbPoint,,"20168",
991870.65743821,208677.547119447,"0",,AcDbEntity:AcDbPoint,,"20169",
991870.944902439,207766.716490784,"0",,AcDbEntity:AcDbPoint,,2016A,
991794.243763474,207564.269435856,"0",,AcDbEntity:AcDbPoint,,2016B,
991332.386742607,207159.320092468,"0",,AcDbEntity:AcDbPoint,,2016C,
991563.485184231,206349.770222826,"0",,AcDbEntity:AcDbPoint,,2016D,
991563.669132981,205742.538156456,"0",,AcDbEntity:AcDbPoint,,2016E,
992103.286875301,204022.259850577,"0",,AcDbEntity:AcDbPoint,,"20170",
