X,Y,fid,acres,borough,date_commi,time_commi,communityb,councildis,department,descriptio,featuresta,gispropnum,gsgroup,gstype,location,mou,nys_assemb,nys_senate,omppropid,parentid,precinct,sitename,starea,stlength,subcategor,system,us_congres,zipcode,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,x,y
996561.304975762,208535.225989617,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",0,0,0,0,0.00000000000000,37.77260562539581,996561.305,208535.226
996735.985743201,208554.617331853,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",1,0,0,1,175.75378990753515,137.93282368663921,996735.986,208554.617
996711.517414249,208441.448035728,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",2,0,0,2,291.53802332149462,232.48151521003928,996711.517,208441.448
996665.942601535,208443.647439118,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",3,0,0,3,337.16587588002540,289.81635020121797,996665.943,208443.647
996621.018657852,208477.340272655,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",4,0,0,4,393.32073094936942,328.12486572206808,996621.019,208477.340
996612.228884551,208524.217213798,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",5,0,0,5,441.01462705397341,305.98929732103886,996612.229,208524.217
996563.773835431,208517.922848863,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",6,0,0,6,489.87678843845674,307.23917479287468,996563.774,208517.923
996561.304975762,208535.225989617,11,0.25699802,B,,,301,33,B-01,"Manhattan Avenue north of Ash Street, at Newtown Creek",Active,BZ595,,SA_Tri,"Manhattan Avenue north of Ash Street, at Newtown Creek",None,,,BZ595,B-01,"94",Manhattan Avenue Street End,11194.7891082764,507.35417486842,Type 1,BZ595,,"11222",7,0,0,7,507.35517360509050,37.77260562539581,996561.305,208535.226
988816.755093469,199587.877583814,12,0.03527686,M,,,103,1,M-03,Education Garden,Active,MZ466,,Greenstreet,"East side of Sol Lain Playground, between East Broadway and Henry Street",DOT,,,MZ466,M-03,"7",Sol Lain Education Garden,1536.65377807617,332.161212281476,Type 1 Greenstreet,MZ466,,"10002",0,0,0,0,0.00000000000000,38.18719569638759,988816.755,199587.878
988826.911258823,199589.179767031,12,0.03527686,M,,,103,1,M-03,Education Garden,Active,MZ466,,Greenstreet,"East side of Sol Lain Playground, between East Broadway and Henry Street",DOT,,,MZ466,M-03,"7",Sol Lain Education Garden,1536.65377807617,332.161212281476,Type 1 Greenstreet,MZ466,,"10002",1,0,0,1,10.23930543693343,128.33472966694254,988826.911,199589.180
988843.318023203,199433.710651984,12,0.03527686,M,,,103,1,M-03,Education Garden,Active,MZ466,,Greenstreet,"East side of Sol Lain Playground, between East Broadway and Henry Street",DOT,,,MZ466,M-03,"7",Sol Lain Education Garden,1536.65377807617,332.161212281476,Type 1 Greenstreet,MZ466,,"10002",2,0,0,2,166.57173217878560,218.81777017295724,988843.318,199433.711
988833.94302538,199432.668968765,12,0.03527686,M,,,103,1,M-03,Education Garden,Active,MZ466,,Greenstreet,"East side of Sol Lain Playground, between East Broadway and Henry Street",DOT,,,MZ466,M-03,"7",Sol Lain Education Garden,1536.65377807617,332.161212281476,Type 1 Greenstreet,MZ466,,"10002",3,0,0,3,176.00442469528372,308.67023620240224,988833.943,199432.669
988816.755093469,199587.877583814,12,0.03527686,M,,,103,1,M-03,Education Garden,Active,MZ466,,Greenstreet,"East side of Sol Lain Playground, between East Broadway and Henry Street",DOT,,,MZ466,M-03,"7",Sol Lain Education Garden,1536.65377807617,332.161212281476,Type 1 Greenstreet,MZ466,,"10002",4,0,0,4,332.16184267084930,38.18719569638759,988816.755,199587.878
