X,Y,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
1000986.91569988,205575.329241069,"0",,AcDbEntity:AcDbPoint,,"20001",
1001187.18274614,205342.660377018,"0",,AcDbEntity:AcDbPoint,,"20002",
1001187.18274614,205342.660377018,"0",,AcDbEntity:AcDbPoint,,"20003",
1000856.14131037,205514.395797362,"0",,AcDbEntity:AcDbPoint,,"20004",
1000856.14131037,205514.395797362,"0",,AcDbEntity:AcDbPoint,,"20005",
1000856.14131037,205514.395797362,"0",,AcDbEntity:AcDbPoint,,"20006",
992087.755469397,204052.640070441,"0",,AcDbEntity:AcDbPoint,,2001B,
992087.755469397,204052.640070441,"0",,AcDbEntity:AcDbPoint,,2001C,
992157.001608444,204194.387677533,"0",,AcDbEntity:AcDbPoint,,2001D,
991802.723283193,204376.440167025,"0",,AcDbEntity:AcDbPoint,,2001E,
992179.963417294,204325.918962255,"0",,AcDbEntity:AcDbPoint,,2001F,
991802.723283193,204376.440167025,"0",,AcDbEntity:AcDbPoint,,"20020",
992157.001608444,204194.387677533,"0",,AcDbEntity:AcDbPoint,,"20022",
997336.074998819,208477.536492663,"0",,AcDbEntity:AcDbPoint,,"20032",
995260.026522491,203315.012070912,"0",,AcDbEntity:AcDbPoint,,"20036",
995260.026522491,203315.012070912,"0",,AcDbEntity:AcDbPoint,,"20037",
993873.126714667,205844.704631323,"0",,AcDbEntity:AcDbPoint,,"20060",
988570.50409138,196127.550015561,"0",,AcDbEntity:AcDbPoint,,"20068",
990565.473185684,195824.503120866,"0",,AcDbEntity:AcDbPoint,,"20069",
1000170.01572322,206617.132279524,"0",,AcDbEntity:AcDbPoint,,2006A,
1000401.12423505,206657.726163031,"0",,AcDbEntity:AcDbPoint,,2006B,
1005024.34278978,201530.366028124,"0",,AcDbEntity:AcDbPoint,,2006F,
1005145.25377824,204363.876528627,"0",,AcDbEntity:AcDbPoint,,"20085",
1004530.65958197,202845.548706903,"0",,AcDbEntity:AcDbPoint,,2009E,
993698.005207438,200784.433894673,"0",,AcDbEntity:AcDbPoint,,2009F,
997821.051307337,208447.563952575,"0",,AcDbEntity:AcDbPoint,,200A7,
997821.051307337,208447.563952575,"0",,AcDbEntity:AcDbPoint,,200A8,
988869.266869226,205438.455962121,"0",,AcDbEntity:AcDbPoint,,200B0,
990233.992106031,196431.393456558,"0",,AcDbEntity:AcDbPoint,,200BB,
990950.817707937,195014.700242398,"0",,AcDbEntity:AcDbPoint,,200C6,
993603.193361184,200085.609749345,"0",,AcDbEntity:AcDbPoint,,200CE,
1005924.71392432,196226.494938943,"0",,AcDbEntity:AcDbPoint,,200CF,
993603.193361184,200085.609749345,"0",,AcDbEntity:AcDbPoint,,"200D1",
1005593.23919966,202694.535044427,"0",,AcDbEntity:AcDbPoint,,"200D4",
1005789.8316238,197938.000705814,"0",,AcDbEntity:AcDbPoint,,"200D5",
1006828.50415865,201072.193565684,"0",,AcDbEntity:AcDbPoint,,"200D8",
1000081.69426008,207756.705281746,"0",,AcDbEntity:AcDbPoint,,"200D9",
992008.799879923,209973.011525834,"0",,AcDbEntity:AcDbPoint,,"200E4",
1003508.17670478,204178.896890322,"0",,AcDbEntity:AcDbPoint,,"200E6",
1006373.18260958,198808.184159738,"0",,AcDbEntity:AcDbPoint,,"200E8",
1001153.18389755,209977.670845422,"0",,AcDbEntity:AcDbPoint,,200EF,
1000045.24906332,209248.257974577,"0",,AcDbEntity:AcDbPoint,,200F8,
1004760.14084746,204515.473848292,"0",,AcDbEntity:AcDbPoint,,200F9,
1002725.10694512,199177.110208156,"0",,AcDbEntity:AcDbPoint,,200FA,
1005044.17965054,196500.428782178,"0",,AcDbEntity:AcDbPoint,,200FB,
1007317.38103703,199149.713894372,"0",,AcDbEntity:AcDbPoint,,200FC,
1006982.92435048,198688.154819082,"0",,AcDbEntity:AcDbPoint,,200FD,
1005580.63719432,199375.101431867,"0",,AcDbEntity:AcDbPoint,,"20101",
1007195.56482026,201906.492796813,"0",,AcDbEntity:AcDbPoint,,"20103",
999214.366840946,208519.065523654,"0",,AcDbEntity:AcDbPoint,,"20109",
1006700.63207271,204152.862130299,"0",,AcDbEntity:AcDbPoint,,2010C,
1000335.57805198,205200.719047299,"0",,AcDbEntity:AcDbPoint,,2010D,
999639.238899903,207134.869387923,"0",,AcDbEntity:AcDbPoint,,"20112",
1008366.54461335,201239.810162771,"0",,AcDbEntity:AcDbPoint,,"20119",
1000418.01607821,209999.393195645,"0",,AcDbEntity:AcDbPoint,,2011A,
1007260.15568396,198688.416416583,"0",,AcDbEntity:AcDbPoint,,"20120",
1001317.38310769,205825.127219648,"0",,AcDbEntity:AcDbPoint,,"20121",
996951.505985972,208338.156687298,"0",,AcDbEntity:AcDbPoint,,"20127",
1001804.99090959,205303.388078427,"0",,AcDbEntity:AcDbPoint,,"20129",
1006150.90125085,199051.719737175,"0",,AcDbEntity:AcDbPoint,,2012A,
991882.775635372,196635.519581153,"0",,AcDbEntity:AcDbPoint,,2012B,
1003998.07769517,200940.74849799,"0",,AcDbEntity:AcDbPoint,,"20141",
1007077.66211579,199062.776151194,"0",,AcDbEntity:AcDbPoint,,2014C,
1003458.22029252,203562.772362792,"0",,AcDbEntity:AcDbPoint,,2015C,
999192.032866933,205641.556689083,"0",,AcDbEntity:AcDbPoint,,2015D,
999193.977876911,205633.542587283,"0",,AcDbEntity:AcDbPoint,,"20163",
1008109.97302941,201401.683703943,"0",,AcDbEntity:AcDbPoint,,2016D,
1004266.35794312,198321.427932785,"0",,AcDbEntity:AcDbPoint,,2016F,
1007228.15089613,203206.094188581,"0",,AcDbEntity:AcDbPoint,,"20170",
1006264.55841491,203637.661406089,"0",,AcDbEntity:AcDbPoint,,"20172",
1001667.39513066,196994.71322308,"0",,AcDbEntity:AcDbPoint,,"20173",
1000805.60893175,210106.768813098,"0",,AcDbEntity:AcDbPoint,,"20176",
999493.893744541,204693.7533667,"0",,AcDbEntity:AcDbPoint,,2017B,
1005589.07498934,197977.535178713,"0",,AcDbEntity:AcDbPoint,,2017D,
1005929.92248853,198153.445184522,"0",,AcDbEntity:AcDbPoint,,2017E,
1007873.92539628,200986.479104233,"0",,AcDbEntity:AcDbPoint,,"20181",
1008367.26929182,200511.148289431,"0",,AcDbEntity:AcDbPoint,,"20182",
1006902.31997468,203360.628402097,"0",,AcDbEntity:AcDbPoint,,"20184",
1002795.9527059,203686.129109204,"0",,AcDbEntity:AcDbPoint,,"20186",
1003916.27851717,203702.678853045,"0",,AcDbEntity:AcDbPoint,,"20189",
1006175.8077827,200326.536871899,"0",,AcDbEntity:AcDbPoint,,2018B,
1004162.36769028,198354.132040815,"0",,AcDbEntity:AcDbPoint,,2018F,
1008271.117007,201030.589223548,"0",,AcDbEntity:AcDbPoint,,"20191",
999236.042241748,205287.088956803,"0",,AcDbEntity:AcDbPoint,,"20194",
999269.982716497,205081.626821561,"0",,AcDbEntity:AcDbPoint,,"20196",
999293.538010688,205086.742090124,"0",,AcDbEntity:AcDbPoint,,"20198",
1006662.1887108,200764.543588266,"0",,AcDbEntity:AcDbPoint,,201A4,
993540.650887213,196195.988789732,"0",,AcDbEntity:AcDbPoint,,201BE,
988786.428835928,208212.464886157,"0",,AcDbEntity:AcDbPoint,,201C5,
995390.759841819,207132.541171973,"0",,AcDbEntity:AcDbPoint,,"201D4",
1006365.87976803,201647.410538894,"0",,AcDbEntity:AcDbPoint,,"201D8",
