X,Y,fid,ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
989306.356306508,194793.87916788,283967,NYP004092474,CON EDISION - 5682,NY,------,Other,253 EAST 11755 253 EAST 11755,NEW YORK,NY,"10003",40.701339,-73.981764,N  ,N  ,-----,------         
989621.34565047,198507.570574117,283475,NYP004116075,CON EDISON  - MH 61609,NY,------,Other,JACKSON ST. AT WATER ST.,NEW YORK,NY,"10003",40.711532,-73.980625,N  ,N  ,-----,------         
989134.109332444,199184.029533066,284392,NYP004093167,CON EDISION - TM568,NY,------,Other,MADISON ST. 42 E. BUSHWICK AVE,BROOKLYN,NY,"10003",40.713389,-73.982382,N  ,N  ,-----,------         
988615.019479946,199863.771622226,275615,NYP004074910,CON EDISION - MH 35781,NY,------,Other,GRAND ST. & PITT GRAND ST. & P,NEW YORK,NY,"10003",40.715255,-73.984254,N  ,N  ,-----,------         
989907.108434281,199965.324601619,284367,NY0000977264,NYC DEPT OF SANITATION GARAGE ME3,NY,------,Other,297 DELANCEY ST,NEW YORK,NY,10002-3603,40.715533,-73.979593,N  ,N  ,-----,------         
989550.020625225,200113.526199891,275688,NYP004044988,CONSOLIDATED EDISON INC - V5657,NY,------,Other,DELANCY ST & COLUMBIA AVE,NEW YORK,NY,"10007",40.71594,-73.980881,N  ,N  ,-----,------         
989497.223994287,201963.589063811,283254,NYP004130431,CON EDISON - MANHOLE 54519,NY,------,Other,N/W/C EAST 61 ST & 2ND AVE,NEW YORK,NY,"10001",40.721018,-73.98107,N  ,N  ,-----,------         
988866.923309559,203208.016452803,167694,NYP004216653,CON EDISON SERVICE BOX 1016,NY,------,Other,521 E 5TH ST,NEW YORK,NY,"10009",40.724434,-73.983343,N  ,N  ,-----,------         
989344.779521748,203216.128122119,132135,NY0000902486,NYC DEPT OF EDUCATION - PS 64M,NY,------,SQG,600 E 6TH ST,NEW YORK,NY,"10009",40.724456,-73.981619,"2  ",N  ,H----,------         
989146.297167447,203322.836114672,171080,NYP004235123,CON EDISON SERVICE BOX 1157,NY,------,Other,534 E 6TH ST,NEW YORK,NY,"10009",40.724749,-73.982335,N  ,N  ,-----,------         
